YEAR,MO,DY,HR,TEMP,PRCP,HMDT,WND_SPD,ATM_PRESS,REF
2021,3,31,18,2.87,0.0,59.62,7.72,100.3,202103
2021,3,31,19,2.68,0.0,62.12,7.64,100.38,202103
2021,3,31,20,2.34,0.0,66.19,7.88,100.44,202103
2021,3,31,21,1.88,0.0,69.12,8.09,100.48,202103
2021,3,31,22,1.54,0.0,67.5,8.28,100.52,202103
2021,3,31,23,1.18,0.0,64.94,8.24,100.53,202103
2021,4,1,0,1.01,0.0,64.75,8.48,100.55,202104
2021,4,1,1,0.56,0.0,65.75,8.71,100.58,202104
2021,4,1,2,0.07,0.0,66.81,8.85,100.62,202104
2021,4,1,3,-0.64,0.0,68.44,8.82,100.68,202104
2021,4,1,4,-1.39,0.0,69.75,8.81,100.76,202104
2021,4,1,5,-1.83,0.0,70.12,8.88,100.83,202104
2021,4,1,6,-1.8,0.0,68.88,9.37,100.92,202104
2021,4,1,7,-1.6,0.01,68.31,9.63,101.0,202104
2021,4,1,8,-1.44,0.01,68.5,9.55,101.08,202104
2021,4,1,9,-0.9,0.01,66.88,9.22,101.13,202104
2021,4,1,10,-0.15,0.0,63.88,8.9,101.15,202104
2021,4,1,11,0.37,0.0,62.25,8.76,101.17,202104
2021,4,1,12,0.72,0.0,61.81,8.45,101.15,202104
2021,4,1,13,0.96,0.0,61.75,8.03,101.13,202104
2021,4,1,14,1.09,0.0,61.75,7.5,101.11,202104
2021,4,1,15,1.03,0.0,62.19,7.02,101.11,202104
2021,4,1,16,0.82,0.0,62.81,6.47,101.14,202104
2021,4,1,17,0.38,0.0,65.06,5.51,101.16,202104
2021,4,1,18,-0.55,0.0,70.5,4.62,101.16,202104
2021,4,1,19,-0.71,0.0,69.69,4.21,101.17,202104
2021,4,1,20,-0.71,0.0,67.69,3.64,101.18,202104
2021,4,1,21,-0.5,0.0,64.94,3.14,101.15,202104
2021,4,1,22,-0.23,0.0,62.38,2.75,101.15,202104
2021,4,1,23,0.05,0.0,59.62,2.26,101.15,202104
2021,4,2,0,0.22,0.0,57.44,1.73,101.16,202104
2021,4,2,1,0.33,0.0,55.44,1.16,101.16,202104
2021,4,2,2,0.34,0.0,54.5,0.85,101.18,202104
2021,4,2,3,0.26,0.0,55.31,1.03,101.19,202104
2021,4,2,4,0.25,0.0,56.25,1.28,101.21,202104
2021,4,2,5,0.22,0.0,57.44,1.52,101.24,202104
2021,4,2,6,0.87,0.0,60.44,2.08,101.27,202104
2021,4,2,7,1.73,0.0,56.12,3.13,101.29,202104
2021,4,2,8,2.58,0.0,53.81,3.75,101.31,202104
2021,4,2,9,3.6,0.0,48.62,3.99,101.32,202104
2021,4,2,10,4.41,0.0,45.12,4.15,101.27,202104
2021,4,2,11,5.16,0.0,44.38,4.06,101.17,202104
2021,4,2,12,5.83,0.0,46.94,3.67,101.06,202104
2021,4,2,13,6.38,0.0,49.38,3.55,100.91,202104
2021,4,2,14,6.79,0.0,49.5,3.74,100.78,202104
2021,4,2,15,7.05,0.0,49.31,4.12,100.68,202104
2021,4,2,16,7.05,0.0,50.25,4.52,100.61,202104
2021,4,2,17,6.19,0.0,57.44,4.43,100.54,202104
2021,4,2,18,5.12,0.0,61.56,5.32,100.5,202104
2021,4,2,19,4.86,0.0,62.5,6.41,100.48,202104
2021,4,2,20,4.39,0.0,65.81,7.22,100.46,202104
2021,4,2,21,3.86,0.0,70.06,7.49,100.43,202104
2021,4,2,22,3.43,0.0,72.94,7.56,100.4,202104
2021,4,2,23,3.08,0.0,75.25,7.65,100.37,202104
2021,4,3,0,2.79,0.0,77.19,8.01,100.33,202104
2021,4,3,1,2.52,0.0,78.5,8.47,100.28,202104
2021,4,3,2,2.4,0.0,78.44,8.97,100.23,202104
2021,4,3,3,2.46,0.0,78.06,9.5,100.15,202104
2021,4,3,4,2.3,0.0,79.88,9.84,100.08,202104
2021,4,3,5,2.12,0.0,82.38,10.0,100.03,202104
2021,4,3,6,2.52,0.0,82.12,10.04,100.0,202104
2021,4,3,7,3.89,0.0,78.12,9.8,99.96,202104
2021,4,3,8,6.46,0.0,70.56,10.23,99.93,202104
2021,4,3,9,8.83,0.0,66.0,9.58,99.88,202104
2021,4,3,10,10.49,0.0,62.25,8.95,99.81,202104
2021,4,3,11,11.7,0.0,58.81,8.46,99.76,202104
2021,4,3,12,12.53,0.0,56.62,8.15,99.71,202104
2021,4,3,13,13.08,0.0,55.75,7.88,99.67,202104
2021,4,3,14,13.38,0.0,56.06,7.63,99.64,202104
2021,4,3,15,13.49,0.0,57.19,7.33,99.64,202104
2021,4,3,16,13.28,0.0,60.38,6.56,99.66,202104
2021,4,3,17,12.15,0.0,68.5,5.36,99.69,202104
2021,4,3,18,10.9,0.0,73.56,4.97,99.73,202104
2021,4,3,19,10.58,0.0,75.0,4.49,99.78,202104
2021,4,3,20,10.62,0.0,74.5,3.85,99.81,202104
2021,4,3,21,10.69,0.0,74.5,3.29,99.84,202104
2021,4,3,22,10.62,0.0,75.25,2.88,99.85,202104
2021,4,3,23,10.61,0.0,75.62,2.49,99.88,202104
2021,4,4,0,10.81,0.0,74.75,1.99,99.9,202104
2021,4,4,1,11.0,0.0,73.81,1.39,99.9,202104
2021,4,4,2,11.14,0.0,72.88,0.79,99.91,202104
2021,4,4,3,10.76,0.0,74.75,0.37,99.93,202104
